flutter: 🎯 Target Bitrate: 95649.154 kbps | 📡 Current Bitrate: 48567.22 kbps
flutter: 🎯 Target Bitrate: 96292.184 kbps | 📡 Current Bitrate: 42054.79 kbps
flutter: 🎯 Target Bitrate: 96604.636 kbps | 📡 Current Bitrate: 46076.49 kbps
flutter: 🎯 Target Bitrate: 96900.914 kbps | 📡 Current Bitrate: 45703.86 kbps
flutter: 🎯 Target Bitrate: 96990.92 kbps | 📡 Current Bitrate: 44382.30 kbps
flutter: 🎯 Target Bitrate: 95541.68 kbps | 📡 Current Bitrate: 48312.71 kbps
flutter: 🎯 Target Bitrate: 96709.681 kbps | 📡 Current Bitrate: 50483.81 kbps
flutter: 🎯 Target Bitrate: 97547.048 kbps | 📡 Current Bitrate: 50688.33 kbps
flutter: 🎯 Target Bitrate: 97429.684 kbps | 📡 Current Bitrate: 50249.38 kbps
flutter: 🎯 Target Bitrate: 97500.718 kbps | 📡 Current Bitrate: 50287.61 kbps
flutter: 🎯 Target Bitrate: 97477.443 kbps | 📡 Current Bitrate: 51370.90 kbps
flutter: 🎯 Target Bitrate: 97624.062 kbps | 📡 Current Bitrate: 46108.08 kbps
flutter: 🎯 Target Bitrate: 96555.835 kbps | 📡 Current Bitrate: 50538.83 kbps
