
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T00:59:57.616561,490.968,1049.39
flutter: 2025-06-10T00:59:58.614561,490.968,483.56
flutter: 2025-06-10T00:59:59.615843,490.968,783.58
flutter: 2025-06-10T01:00:00.613299,981.8,1056.84
flutter: 2025-06-10T01:00:01.619430,980.656,1081.77
flutter: 2025-06-10T01:00:02.620871,981.816,1234.76
flutter: 2025-06-10T01:00:03.616211,1399.801,1147.87
flutter: 2025-06-10T01:00:04.615972,1839.082,1684.76
flutter: 2025-06-10T01:00:05.614772,3151.662,2768.15
flutter: 2025-06-10T01:00:06.614303,5368.97,2718.49
flutter: 2025-06-10T01:00:07.614507,9113.966,4552.44
flutter: 2025-06-10T01:00:08.614959,15443.764,8148.70
flutter: 2025-06-10T01:00:09.615892,652.904,5371.13
flutter: 2025-06-10T01:00:10.616243,582.063,1272.32
flutter: 2025-06-10T01:00:11.615577,491.56,2922.41
flutter: 2025-06-10T01:00:12.614940,491.56,4797.30
flutter: 2025-06-10T01:00:13.615717,491.371,3926.67
flutter: 2025-06-10T01:00:14.615099,491.568,2393.70
flutter: 2025-06-10T01:00:15.615145,491.512,1342.70
flutter: 2025-06-10T01:00:16.615371,634.729,1080.58
flutter: 2025-06-10T01:00:17.614730,982.936,1028.40
flutter: 2025-06-10T01:00:18.615599,982.592,1031.76
flutter: 2025-06-10T01:00:19.615032,982.896,1015.32
flutter: 2025-06-10T01:00:20.615771,982.896,1034.02
flutter: 2025-06-10T01:00:21.616493,983.2,956.80
flutter: 2025-06-10T01:00:22.615234,982.608,669.52
flutter: 2025-06-10T01:00:23.615634,983.184,673.26
flutter: 2025-06-10T01:00:24.615626,983.159,794.95
flutter: 2025-06-10T01:00:25.615961,983.159,690.69
flutter: 2025-06-10T01:00:26.615583,1172.649,665.58
flutter: 2025-06-10T01:00:27.616380,1543.126,993.53
flutter: 2025-06-10T01:00:28.615251,2650.469,1501.04
flutter: 2025-06-10T01:00:29.615010,4521.144,2243.92
flutter: 2025-06-10T01:00:30.617479,5895.816,3807.78
flutter: 2025-06-10T01:00:31.617034,6912.212,4617.92
flutter: 2025-06-10T01:00:32.616151,6960.297,4718.90
flutter: 2025-06-10T01:00:33.616254,6419.515,5061.83
flutter: 2025-06-10T01:00:34.615463,6994.183,4691.08
flutter: 2025-06-10T01:00:35.614816,7084.38,4984.38
flutter: 2025-06-10T01:00:36.616882,7122.115,5146.58
flutter: 2025-06-10T01:00:37.617074,7159.853,4950.01
flutter: 2025-06-10T01:00:38.613535,7207.506,4799.70
flutter: 2025-06-10T01:00:39.619113,7243.903,5333.32
flutter: 2025-06-10T01:00:40.617128,7280.915,4841.85
flutter: 2025-06-10T01:00:41.617239,7330.342,5093.97
flutter: 2025-06-10T01:00:42.619176,7366.41,5387.60
flutter: 2025-06-10T01:00:43.617523,7403.609,5195.30
flutter: 2025-06-10T01:00:44.617379,7448.635,5138.87
flutter: 2025-06-10T01:00:45.616750,7485.8,5182.77
flutter: 2025-06-10T01:00:46.616597,7522.448,5386.73
flutter: 2025-06-10T01:00:47.615912,7573.155,5121.66
flutter: 2025-06-10T01:00:48.615688,7608.889,5590.17
flutter: 2025-06-10T01:00:49.615726,7646.41,5295.50
flutter: 2025-06-10T01:00:50.615442,7693.431,5010.19
flutter: 2025-06-10T01:00:51.612954,7728.749,5639.68
flutter: 2025-06-10T01:00:52.616289,7760.861,2322.34
flutter: 2025-06-10T01:00:54.873692,7766.029,0.00
flutter: 2025-06-10T01:00:55.617280,2500.695,3934.65
flutter: 2025-06-10T01:00:56.615876,689.558,1140.40
flutter: 2025-06-10T01:00:57.614197,491.6,1225.62
flutter: 2025-06-10T01:00:58.613781,491.6,2712.22
flutter: 2025-06-10T01:00:59.627044,491.6,4872.21
flutter: 2025-06-10T01:01:00.618355,491.576,4375.38
flutter: 2025-06-10T01:01:01.620124,491.504,2625.63
flutter: 2025-06-10T01:01:02.619502,491.552,1250.51
flutter: 2025-06-10T01:01:03.617141,811.562,1064.09
flutter: 2025-06-10T01:01:04.616722,811.562,1010.38
flutter: 2025-06-10T01:01:05.616521,811.562,1035.82
flutter: 2025-06-10T01:01:06.615840,983.024,1078.73
flutter: 2025-06-10T01:01:07.615463,982.952,953.89
flutter: 2025-06-10T01:01:08.616782,983.16,684.61
flutter: 2025-06-10T01:01:09.615749,983.16,768.20
flutter: 2025-06-10T01:01:10.617460,983.16,654.66
flutter: 2025-06-10T01:01:11.617930,983.16,763.72
flutter: 2025-06-10T01:01:12.616711,983.2,596.36
flutter: 2025-06-10T01:01:13.615840,983.2,342.61
flutter: 2025-06-10T01:01:14.617245,1629.573,434.17
flutter: 2025-06-10T01:01:15.617089,1680.619,525.89
flutter: 2025-06-10T01:01:16.617981,1680.643,538.75
flutter: 2025-06-10T01:01:17.616378,1680.571,935.46
flutter: 2025-06-10T01:01:18.616469,1679.923,780.46
flutter: 2025-06-10T01:01:19.617403,1680.203,1078.90
flutter: 2025-06-10T01:01:20.616433,1796.156,1354.68
flutter: 2025-06-10T01:01:21.617036,1853.132,1251.11
flutter: 2025-06-10T01:01:22.616917,2006.163,1237.61
flutter: 2025-06-10T01:01:23.617706,2096.507,1650.03
flutter: 2025-06-10T01:01:24.617587,2249.114,2259.42
flutter: 2025-06-10T01:01:25.616393,2477.103,2517.98
flutter: 2025-06-10T01:01:26.615619,2659.752,2707.77
flutter: 2025-06-10T01:01:27.616580,2854.81,1991.37
flutter: 2025-06-10T01:01:28.615939,3087.403,1976.94
flutter: 2025-06-10T01:01:29.617012,3257.515,2166.02
